"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"4112020" "Adviser, claims (government)" "4112020" "Adviser, claims (government)"
"4112021" "Assistant, Revenue, Inland" "4112021" "Assistant, Revenue, Inland"
"4112022" "Assistant, administration (armed forces)" "4112022" "Assistant, administration (armed forces)"
"4112023" "Assistant, administration (government)" "4112023" "Assistant, administration (government)"
"4112024" "Assistant, administrative (armed forces)" "4112024" "Assistant, administrative (armed forces)"
"4112025" "Assistant, administrative (government)" "4112025" "Assistant, administrative (government)"
"4112026" "Assistant, clerical (government)" "4112026" "Assistant, clerical (government)"
"4112027" "Assistant, court" "4112027" "Assistant, court"
"4112028" "Assistant, registration (Land Registry)" "4112028" "Assistant, registration (Land Registry)"
"4112029" "Assistant, revenue (government)" "4112029" "Assistant, revenue (government)"
"4112030" "Assistant, tax (government)" "4112030" "Assistant, tax (government)"
"4112031" "Assistant, taxation (government)" "4112031" "Assistant, taxation (government)"
"4112032" "Band 1 (Customs and Excise)" "4112032" "Band 1 (Customs and Excise)"
"4112033" "Band 2 (Customs and Excise)" "4112033" "Band 2 (Customs and Excise)"
"4112034" "Band 3 (Customs and Excise)" "4112034" "Band 3 (Customs and Excise)"
"4112035" "Band 4 (Customs and Excise)" "4112035" "Band 4 (Customs and Excise)"
"4112036" "Band 4A (Meteorological Office)" "4112036" "Band 4A (Meteorological Office)"
"4112037" "Band 4B (Meteorological Office)" "4112037" "Band 4B (Meteorological Office)"
"4112038" "Band 4C (Meteorological Office)" "4112038" "Band 4C (Meteorological Office)"
"4112039" "Band 6 (Health and Safety Executive)" "4112039" "Band 6 (Health and Safety Executive)"
"4112040" "Band A (Lord Chancellor's Dept)" "4112040" "Band A (Lord Chancellor's Dept)"
"4112041" "Band A (Welsh Office)" "4112041" "Band A (Welsh Office)"
"4112042" "Band B (Lord Chancellor's Dept)" "4112042" "Band B (Lord Chancellor's Dept)"
"4112043" "Band B (Welsh Office)" "4112043" "Band B (Welsh Office)"
"4112044" "C1 (Cabinet Office)" "4112044" "C1 (Cabinet Office)"
"4112045" "C1 (Dept for International Development)" "4112045" "C1 (Dept for International Development)"
"4112046" "C2 (Cabinet Office)" "4112046" "C2 (Cabinet Office)"
"4112047" "C2 (Dept for International Development)" "4112047" "C2 (Dept for International Development)"
"4112048" "Caseworker (government)" "4112048" "Caseworker (government)"
"4112049" "Clerk (government)" "4112049" "Clerk (government)"
"4112050" "Clerk (law courts)" "4112050" "Clerk (law courts)"
"4112051" "Clerk (prison service)" "4112051" "Clerk (prison service)"
"4112052" "Clerk, court" "4112052" "Clerk, court"
"4112053" "Clerk, grade, higher" "4112053" "Clerk, grade, higher"
"4112054" "Clerk-typist (government)" "4112054" "Clerk-typist (government)"
"4112055" "Collector of taxes, assistant" "4112055" "Collector of taxes, assistant"
"4112056" "Collector, assistant (Inland Revenue)" "4112056" "Collector, assistant (Inland Revenue)"
"4112057" "Collector, tax, assistant" "4112057" "Collector, tax, assistant"
"4112058" "D1 (Northern Ireland Office)" "4112058" "D1 (Northern Ireland Office)"
"4112059" "D2 (Northern Ireland Office)" "4112059" "D2 (Northern Ireland Office)"
"4112060" "Grade 12 (Foreign and Commonwealth Office)" "4112060" "Grade 12 (Foreign and Commonwealth Office)"
"4112061" "Grade 13 (Foreign and Commonwealth Office)" "4112061" "Grade 13 (Foreign and Commonwealth Office)"
"4112062" "Grade D (DCMS)" "4112062" "Grade D (DCMS)"
"4112063" "Investigator (DSS)" "4112063" "Investigator (DSS)"
"4112064" "LOII (DSS)" "4112064" "LOII (DSS)"
"4112065" "Officer, Revenue, Inland" "4112065" "Officer, Revenue, Inland"
"4112066" "Officer, administration (armed forces)" "4112066" "Officer, administration (armed forces)"
"4112067" "Officer, administration (government)" "4112067" "Officer, administration (government)"
"4112068" "Officer, administrative (armed forces)" "4112068" "Officer, administrative (armed forces)"
"4112069" "Officer, administrative (government)" "4112069" "Officer, administrative (government)"
"4112070" "Officer, assessment" "4112070" "Officer, assessment"
"4112071" "Officer, clerical (government)" "4112071" "Officer, clerical (government)"
"4112072" "Officer, clerical (prison service)" "4112072" "Officer, clerical (prison service)"
"4112073" "Officer, cypher (Foreign Office)" "4112073" "Officer, cypher (Foreign Office)"
"4112074" "Officer, government, nos" "4112074" "Officer, government, nos"
"4112075" "Officer, group (MOD)" "4112075" "Officer, group (MOD)"
"4112076" "Officer, local II (DSS)" "4112076" "Officer, local II (DSS)"
"4112077" "Officer, processing, benefits (government)" "4112077" "Officer, processing, benefits (government)"
"4112078" "Officer, registration (Land Registry)" "4112078" "Officer, registration (Land Registry)"
"4112079" "Officer, revenue (government)" "4112079" "Officer, revenue (government)"
"4112080" "Officer, service, foreign" "4112080" "Officer, service, foreign"
"4112081" "Officer, statistical, grade D (MOD)" "4112081" "Officer, statistical, grade D (MOD)"
"4112082" "Officer, support, income (government)" "4112082" "Officer, support, income (government)"
"4112083" "Officer, tax (Inland Revenue)" "4112083" "Officer, tax (Inland Revenue)"
"4112084" "Officer, taxation (Inland Revenue)" "4112084" "Officer, taxation (Inland Revenue)"
"4112085" "Officer, visiting (DSS)" "4112085" "Officer, visiting (DSS)"
"4112086" "Official, government" "4112086" "Official, government"
"4112087" "Official, tax (Inland Revenue)" "4112087" "Official, tax (Inland Revenue)"
"4112088" "PB8 (Employment Service)" "4112088" "PB8 (Employment Service)"
"4112089" "PB9 (Employment Service)" "4112089" "PB9 (Employment Service)"
"4112090" "Payband 1 (Dept of Health)" "4112090" "Payband 1 (Dept of Health)"
"4112091" "RA1 (Land Registry)" "4112091" "RA1 (Land Registry)"
"4112092" "RA2 (Land Registry)" "4112092" "RA2 (Land Registry)"
"4112093" "RO (Land Registry)" "4112093" "RO (Land Registry)"
"4112094" "SGB (MAFF)" "4112094" "SGB (MAFF)"
"4112095" "Servant, civil (museum service)" "4112095" "Servant, civil (museum service)"
"4112096" "Servant, civil, nos" "4112096" "Servant, civil, nos"
"4112097" "Stamper (Inland Revenue)" "4112097" "Stamper (Inland Revenue)"
"4112098" "Transcriber, communications (government)" "4112098" "Transcriber, communications (government)"
"4112099" "Watcher (Customs and Excise)" "4112099" "Watcher (Customs and Excise)"
"4112100" "Watcher, customs" "4112100" "Watcher, customs"
"4112101" "Worker, case (government)" "4112101" "Worker, case (government)"
"4112102" "Worker, office (government)" "4112102" "Worker, office (government)"
"4112103" "Writer (MOD)" "4112103" "Writer (MOD)"
"4112104" "Writer (armed forces)" "4112104" "Writer (armed forces)"
"4113" "Local government clerical officers and assistants" "4113" "Local government clerical officers and assistants"
"4113001" "AP(T) (local government: grade 1,2,3)" "4113001" "AP(T) (local government: grade 1,2,3)"
"4113002" "Administrator (local government)" "4113002" "Administrator (local government)"
"4113003" "Administrator, electoral" "4113003" "Administrator, electoral"
"4113004" "Adviser, benefit (local government)" "4113004" "Adviser, benefit (local government)"
"4113005" "Adviser, benefits (local government)" "4113005" "Adviser, benefits (local government)"
"4113006" "Assistant, administration (local government)" "4113006" "Assistant, administration (local government)"
"4113007" "Assistant, administrative (local government)" "4113007" "Assistant, administrative (local government)"
"4113008" "Assistant, benefit (local government)" "4113008" "Assistant, benefit (local government)"
"4113009" "Assistant, benefits (local government)" "4113009" "Assistant, benefits (local government)"
"4113010" "Assistant, chief (local government)" "4113010" "Assistant, chief (local government)"
"4113011" "Assistant, clerical (local government)" "4113011" "Assistant, clerical (local government)"
"4113012" "Assistant, clerical (police service)" "4113012" "Assistant, clerical (police service)"
"4113013" "Assistant, collector's, rate" "4113013" "Assistant, collector's, rate"
"4113014" "Assistant, fixing, rate" "4113014" "Assistant, fixing, rate"
"4113015" "Assistant, housing" "4113015" "Assistant, housing"
"4113016" "Assistant, inspector's (local government)" "4113016" "Assistant, inspector's (local government)"
"4113017" "Assistant, lettings (local government)" "4113017" "Assistant, lettings (local government)"
"4113018" "Assistant, principal (local government)" "4113018" "Assistant, principal (local government)"
"4113019" "Assistant, rating" "4113019" "Assistant, rating"
"4113020" "Assistant, recovery (local government)" "4113020" "Assistant, recovery (local government)"
"4113021" "Assistant, senior (CSSD)" "4113021" "Assistant, senior (CSSD)"
"4113022" "Assistant, senior (local government)" "4113022" "Assistant, senior (local government)"
"4113023" "Assistant, standards, trading" "4113023" "Assistant, standards, trading"
"4113024" "Assistant, survey (local government)" "4113024" "Assistant, survey (local government)"
"4113025" "Assistant, tax (local government)" "4113025" "Assistant, tax (local government)"
"4113026" "Assistant, taxation (local government)" "4113026" "Assistant, taxation (local government)"
"4113027" "Attendant, health (local government)" "4113027" "Attendant, health (local government)"
"4113028" "Cashier (local government)" "4113028" "Cashier (local government)"
"4113029" "Clerk (health authority)" "4113029" "Clerk (health authority)"
"4113030" "Clerk (local government)" "4113030" "Clerk (local government)"
"4113031" "Clerk (police service)" "4113031" "Clerk (police service)"
"4113032" "Clerk, charge, community" "4113032" "Clerk, charge, community"
"4113033" "Clerk, control (local government)" "4113033" "Clerk, control (local government)"
"4113034" "Clerk, property" "4113034" "Clerk, property"
"4113035" "Clerk, rating" "4113035" "Clerk, rating"
"4113036" "Clerk, senior (local government)" "4113036" "Clerk, senior (local government)"
"4113037" "Clerk, tax, poll" "4113037" "Clerk, tax, poll"
"4113038" "Clerk-typist (health authority)" "4113038" "Clerk-typist (health authority)"
"4113039" "Clerk-typist (local government)" "4113039" "Clerk-typist (local government)"
"4113040" "Clerk-typist (police service)" "4113040" "Clerk-typist (police service)"
"4113041" "Collector (local government)" "4113041" "Collector (local government)"
"4113042" "Collector, rate" "4113042" "Collector, rate"
"4113043" "Collector, senior (local government)" "4113043" "Collector, senior (local government)"
"4113044" "Collector-driver (local government)" "4113044" "Collector-driver (local government)"
"4113045" "Inspector of rates and rentals" "4113045" "Inspector of rates and rentals"
"4113046" "Inspector, employment" "4113046" "Inspector, employment"
"4113047" "Inspector, fraud (local government)" "4113047" "Inspector, fraud (local government)"
"4113048" "Leader, team (local government)" "4113048" "Leader, team (local government)"
"4113049" "Leader, team, benefit (local government)" "4113049" "Leader, team, benefit (local government)"
"4113050" "Officer, administration (local government)" "4113050" "Officer, administration (local government)"
"4113051" "Officer, administrative (local government)" "4113051" "Officer, administrative (local government)"
"4113052" "Officer, arrears (local government)" "4113052" "Officer, arrears (local government)"
"4113053" "Officer, authorised (local government)" "4113053" "Officer, authorised (local government)"
"4113054" "Officer, benefit (local government)" "4113054" "Officer, benefit (local government)"
"4113055" "Officer, benefit, housing" "4113055" "Officer, benefit, housing"
"4113056" "Officer, benefit, senior (local government)" "4113056" "Officer, benefit, senior (local government)"
"4113057" "Officer, benefits (local government)" "4113057" "Officer, benefits (local government)"
"4113058" "Officer, benefits, housing" "4113058" "Officer, benefits, housing"
"4113059" "Officer, benefits, senior (local government)" "4113059" "Officer, benefits, senior (local government)"
"4113060" "Officer, billing (local government)" "4113060" "Officer, billing (local government)"
"4113061" "Officer, charges, land" "4113061" "Officer, charges, land"
"4113062" "Officer, clerical (health authority)" "4113062" "Officer, clerical (health authority)"
"4113063" "Officer, clerical (local government)" "4113063" "Officer, clerical (local government)"
"4113064" "Officer, clerical (police service)" "4113064" "Officer, clerical (police service)"
"4113065" "Officer, clerical, higher (local government)" "4113065" "Officer, clerical, higher (local government)"
"4113066" "Officer, executive (local government)" "4113066" "Officer, executive (local government)"
"4113067" "Officer, fraud (local government)" "4113067" "Officer, fraud (local government)"
"4113068" "Officer, government, local, nos" "4113068" "Officer, government, local, nos"
"4113069" "Officer, lettings (local government: housing dept)" "4113069" "Officer, lettings (local government: housing dept)"
"4113070" "Officer, monitoring (local government)" "4113070" "Officer, monitoring (local government)"
"4113071" "Officer, rates" "4113071" "Officer, rates"
"4113072" "Officer, rebate (local government)" "4113072" "Officer, rebate (local government)"
"4113073" "Officer, rights of way" "4113073" "Officer, rights of way"
"4113074" "Officer, services, electoral" "4113074" "Officer, services, electoral"
"4113075" "Officer, support (local government)" "4113075" "Officer, support (local government)"
"4113076" "Officer, tax, council" "4113076" "Officer, tax, council"
